Flyer URLs,Shop IDs
https://www.conad.it/assets/common/volantini/cno/v-heyc/_HeyConad_Sconto_Prima_Spesa_A4.pdf?_u=27a4f8ca73ab016bbe1157422c94e1b907b06a0b,"['67cf0eb174b04f610c63d1f1', '67cf0ee074b04f610c63d38c', '67cf109774b04f610c63e0ed', '67cf111274b04f610c63e4ba', '67cf114374b04f610c63e5de']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252505PCITYELBA.pdf?_u=186691e861817f4ab017da22be463dcc43686c16,"['67cf0dac74b04f610c63c99d', '67cf0dad74b04f610c63c9a7', '67cf0dae74b04f610c63c9b6', '67cf10a074b04f610c63e13d', '67cf10a174b04f610c63e142', '67cf10a274b04f610c63e147', '67cf10a274b04f610c63e14c']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252505PCITYEMILIA.pdf?_u=2fc965f28f5d98ae26e5ff5d3aa8f6623ad919ed,['67cf0e4074b04f610c63ce3a']
https://www.conad.it/assets/common/volantini/cno/v20252/20252505PCITYTOSCANA.pdf?_u=0a3a834ce58c3380c2d9dd649b7f39cb066719c4,"['67cf0f2474b04f610c63d581', '67cf0f2574b04f610c63d58b', '67cf0f2d74b04f610c63d5c7', '67cf101674b04f610c63dccc', '67cf101674b04f610c63dcd1', '67cf101774b04f610c63dcd6', '67cf111b74b04f610c63e4e7', '67cf111c74b04f610c63e4ec', '67cf111f74b04f610c63e4fb', '67cf112074b04f610c63e500', '67cf112074b04f610c63e505', '67cf112174b04f610c63e50a', '67cf112274b04f610c63e50f', '67cf112474b04f610c63e519', '67cf112574b04f610c63e51e']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252505PCONADTOSCANA.pdf?_u=28aaf91f5bd4de857101640e6eab118a88ffa84c,"['67cf0dcc74b04f610c63caa0', '67cf0f2074b04f610c63d55e', '67cf0f2374b04f610c63d577', '67cf0f2574b04f610c63d586', '67cf0f2b74b04f610c63d5b8', '67cf0f2d74b04f610c63d5cc', '67cf0f9a74b04f610c63d911', '67cf0f9c74b04f610c63d925', '67cf101874b04f610c63dcdb', '67cf10f274b04f610c63e3d0', '67cf10f274b04f610c63e3d5', '67cf111e74b04f610c63e4f6', '67cf112374b04f610c63e514', '67cf112674b04f610c63e523', '67cf112874b04f610c63e532', '67cf115074b04f610c63e626']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252505PSUPERSTORETOSCANA.pdf?_u=2dbec7daedbb2b228dbc25e8edb11603b05e7ad9,['67cf0f9b74b04f610c63d91b']
https://www.conad.it/assets/common/volantini/cno/v20252/20252506PCITYELBA.pdf?_u=879fdbd57dfa6ee42ca4cdfe7a76da34f8baa380,"['67cf0dac74b04f610c63c99d', '67cf0dad74b04f610c63c9a7', '67cf0dae74b04f610c63c9b6', '67cf10a074b04f610c63e13d', '67cf10a174b04f610c63e142', '67cf10a274b04f610c63e147', '67cf10a274b04f610c63e14c']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252506PCITYEMILIA.pdf?_u=f0fe588bb83a68c9b410c869be812a2609d884a7,['67cf0e4074b04f610c63ce3a']
https://www.conad.it/assets/common/volantini/cno/v20252/20252506PCITYTOSCANA.pdf?_u=686d96d007ec20318dd92f6eea5afea2ec9b07ab,"['67cf0f2474b04f610c63d581', '67cf0f2574b04f610c63d58b', '67cf0f2d74b04f610c63d5c7', '67cf101674b04f610c63dccc', '67cf101674b04f610c63dcd1', '67cf101774b04f610c63dcd6', '67cf111b74b04f610c63e4e7', '67cf111c74b04f610c63e4ec', '67cf111f74b04f610c63e4fb', '67cf112074b04f610c63e500', '67cf112074b04f610c63e505', '67cf112174b04f610c63e50a', '67cf112274b04f610c63e50f', '67cf112474b04f610c63e519', '67cf112574b04f610c63e51e']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252506PCONADTOSCANA.pdf?_u=1d64585c46905335ab98147710318cc1399be773,"['67cf0dcc74b04f610c63caa0', '67cf0f2074b04f610c63d55e', '67cf0f2374b04f610c63d577', '67cf0f2574b04f610c63d586', '67cf0f2b74b04f610c63d5b8', '67cf0f2d74b04f610c63d5cc', '67cf0f9a74b04f610c63d911', '67cf0f9c74b04f610c63d925', '67cf101874b04f610c63dcdb', '67cf10f274b04f610c63e3d0', '67cf10f274b04f610c63e3d5', '67cf111e74b04f610c63e4f6', '67cf112374b04f610c63e514', '67cf112674b04f610c63e523', '67cf112874b04f610c63e532', '67cf115074b04f610c63e626']"
https://www.conad.it/assets/common/volantini/cno/v20252/20252506PSUPERSTORETOSCANA.pdf?_u=4e951874e542b225faacc7d12ce17d546c2edf39,['67cf0f9b74b04f610c63d91b']
